Sample,PC1,PC2,Species
18158nigbel,-1.8774286319540954,-2.555407488498544,nig
18159nigbel,-1.7883899928777356,-2.838058390181176,nig
18162nigbel,-2.0454843356552836,-2.806501245153192,nig
18163unibel,3.4232919803270154,0.14777607635861637,uni
18165nigbel,-1.5389408680952965,-2.198531291840498,nig
18171nigbel,-2.0124991979566373,-3.912239858654869,nig
18172puebel,-1.6554064166892049,2.531512683607024,pue
18174puebel,1.3307396539899716,3.6997465849466535,pue
18175puebel,-1.8083444355387743,2.684004562360405,pue
18176puebel,-1.0435738242856831,2.329193577892777,pue
18178puebel,-1.9715231188581195,2.6021312947867985,pue
18180puebel,-1.4332177618046582,1.1764278719769465,pue
18185nigbel,-0.7823218713121651,-2.8616004335053207,nig
18195indbel,-2.119721038115857,3.224100829209935,ind
18222indbel,-2.9130862125322827,2.9837759972365814,ind
18225indbel,-2.769470679342597,2.0894734435065025,ind
18226indbel,-2.825270496093151,3.81566334508457,ind
18227indbel,-3.3222503344923076,1.9432884472781942,ind
18237indbel,-2.6782877602751864,3.1454328608111455,ind
18261unibel,8.113017537466405,-0.24956064574100362,uni
18267unibel,0.8459376511532025,-2.317182501694817,uni
18274unibel,3.9744668794631415,-1.3092186226364038,uni
19881unibel,7.852208559108891,-0.39901165375110564,uni
20092unibel,8.236371582829511,-0.2759180994147646,uni
20427gumhon,-1.9607777536168476,0.23316039133756788,gum
20428gumhon,-1.4881110127263146,0.5088410932550009,gum
20604nighon,-1.353268975522877,-2.5097803698159415,nig
20605nighon,-1.5746818233394677,-2.129697635278334,nig
20606nighon,-1.9814551407926984,-2.87540522380368,nig
20607nighon,-1.627734488209855,-3.319491574261757,nig
20608nighon,-1.672703291288867,-1.8456821233154888,nig
20609nighon,-2.233409242550909,-1.7092138375267436,nig
20615gumhon,0.9271089964174803,-0.7765218395015132,gum
20617gumhon,-2.1021215081284303,0.7433124781969743,gum
20641gumhon,7.948940190903116,1.5040385594876196,gum
20642gumhon,7.927397180396525,1.5271427372418165,gum
