Sample,PC1,PC2,Species
18158nigbel,-2.915490451266089,-0.89353595393432,nig
18159nigbel,-3.6857527762646733,0.3520269631556122,nig
18162nigbel,-3.641485114707479,-0.33917282848968644,nig
18163unibel,-2.971904748044748,0.33415213446165093,uni
18165nigbel,-2.457928532839202,1.9962016805168041,nig
18171nigbel,-2.9739067928552485,0.6775699424493327,nig
18172puebel,9.699072458464867,-5.591770074574355,pue
18174puebel,9.972585435962975,-6.17901406180791,pue
18175puebel,10.060467861930075,-6.142333735158676,pue
18176puebel,10.084827917338274,-6.500542199105315,pue
18178puebel,2.3297448759075197,2.6748740234700508,pue
18180puebel,2.4313250463267675,-3.348265634250604,pue
18185nigbel,-3.429071292249999,-0.8564486413170433,nig
18195indbel,5.551647465129336,4.922765267639747,ind
18222indbel,5.818649885129743,4.4535758955072025,ind
18225indbel,7.82429394400912,5.203832114964922,ind
18226indbel,7.706473344219211,4.820072847087374,ind
18227indbel,7.533964626609315,5.215458622312236,ind
18237indbel,8.259889214993814,5.3600935798565095,ind
18261unibel,-2.568395780674815,1.8930101118338856,uni
18267unibel,-2.3079670670808032,0.6936306464992433,uni
18274unibel,-3.084721985904846,0.9669360192603801,uni
19881unibel,-4.713017829503082,-0.8811536407724264,uni
20092unibel,-3.5125170608774754,-0.35415271770293383,uni
20427gumhon,-4.251543566455579,-1.70051937075305,gum
20428gumhon,-4.444736486397761,-0.3635294879120829,gum
20604nighon,-3.2506055289506937,0.20668510005911875,nig
20605nighon,-4.555834062396449,-0.6383237824785758,nig
20606nighon,-2.982473943382448,1.5576663338598171,nig
20607nighon,-4.759071469039246,-0.4375116751450645,nig
20608nighon,-3.8811433294220503,-2.0181923271698676,nig
20609nighon,-4.510499975832387,-0.4404167708867914,nig
20615gumhon,-3.8335697698726303,-0.6962283062735725,gum
20617gumhon,-3.6440375212415437,-1.6410399198690073,gum
20641gumhon,-4.065356195724151,-1.5695715032676298,gum
20642gumhon,-4.83191079503751,-0.7368286520650504,gum
